,District Name,Market Name,Commodity,Variety,Grade,Price Date,Modal Price (Rs./Quintal)
2,Jalpaiguri,Alipurduar,Cabbage,Other,FAQ,04 Oct 2020,2800.0
3,Jalpaiguri,Alipurduar,Cabbage,Other,FAQ,03 Oct 2020,2600.0
4,Jalpaiguri,Alipurduar,Cabbage,Other,FAQ,02 Oct 2020,2600.0
5,Burdwan,Durgapur,Cabbage,Other,FAQ,02 Oct 2020,1900.0
6,Nadia,Kalyani,Cabbage,Other,FAQ,05 Oct 2020,1600.0
7,Nadia,Kalyani,Cabbage,Other,FAQ,03 Oct 2020,1600.0
8,Nadia,Kalyani,Cabbage,Other,FAQ,02 Oct 2020,1600.0
9,Nadia,Ranaghat,Cabbage,Other,FAQ,05 Oct 2020,3200.0
10,Nadia,Ranaghat,Cabbage,Other,FAQ,04 Oct 2020,3200.0
11,Nadia,Ranaghat,Cabbage,Other,FAQ,03 Oct 2020,3200.0
12,Nadia,Ranaghat,Cabbage,Other,FAQ,02 Oct 2020,3200.0
13,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,05 Oct 2020,3600.0
14,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,04 Oct 2020,3600.0
15,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,03 Oct 2020,3600.0
16,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,02 Oct 2020,3400.0
17,Jalpaiguri,Alipurduar,Onion,Other,FAQ,04 Oct 2020,4000.0
18,Jalpaiguri,Alipurduar,Onion,Other,FAQ,03 Oct 2020,4000.0
19,Jalpaiguri,Alipurduar,Onion,Other,FAQ,02 Oct 2020,4000.0
20,Burdwan,Asansol,Onion,Nasik,FAQ,02 Oct 2020,3400.0
21,Puruliya,Balarampur,Onion,Other,FAQ,05 Oct 2020,3400.0
22,Puruliya,Balarampur,Onion,Other,FAQ,04 Oct 2020,3300.0
23,Puruliya,Balarampur,Onion,Other,FAQ,03 Oct 2020,3500.0
24,Puruliya,Balarampur,Onion,Other,FAQ,02 Oct 2020,3500.0
25,Bankura,Bankura Sadar,Onion,Nasik,FAQ,05 Oct 2020,4000.0
26,Kolkata,Bara Bazar (Posta Bazar),Onion,Other,FAQ,03 Oct 2020,3800.0
27,North 24 Parganas,Barasat,Onion,Other,FAQ,05 Oct 2020,4200.0
28,North 24 Parganas,Barasat,Onion,Other,FAQ,04 Oct 2020,4400.0
29,North 24 Parganas,Barasat,Onion,Other,FAQ,03 Oct 2020,4300.0
30,North 24 Parganas,Barasat,Onion,Other,FAQ,02 Oct 2020,4300.0
31,Jalpaiguri,Belacoba,Onion,Other,FAQ,05 Oct 2020,3900.0
32,Jalpaiguri,Belacoba,Onion,Other,FAQ,04 Oct 2020,3900.0
33,Jalpaiguri,Belacoba,Onion,Other,FAQ,03 Oct 2020,3800.0
34,Jalpaiguri,Belacoba,Onion,Other,FAQ,02 Oct 2020,3820.0
35,Birbhum,Birbhum,Onion,Other,FAQ,05 Oct 2020,3800.0
36,Birbhum,Birbhum,Onion,Other,FAQ,04 Oct 2020,3800.0
37,Birbhum,Birbhum,Onion,Nasik,FAQ,03 Oct 2020,3900.0
38,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,05 Oct 2020,3900.0
39,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,04 Oct 2020,4000.0
40,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,03 Oct 2020,4000.0
41,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,02 Oct 2020,4000.0
42,Birbhum,Bolpur,Onion,Onion,FAQ,05 Oct 2020,4000.0
43,Birbhum,Bolpur,Onion,Onion,FAQ,03 Oct 2020,4200.0
44,Birbhum,Bolpur,Onion,Onion,FAQ,02 Oct 2020,3900.0
45,Burdwan,Burdwan,Onion,Nasik,FAQ,03 Oct 2020,4000.0
46,Nadia,Chakdah,Onion,Other,FAQ,05 Oct 2020,4400.0
47,Nadia,Chakdah,Onion,Other,FAQ,04 Oct 2020,4400.0
48,Nadia,Chakdah,Onion,Other,FAQ,03 Oct 2020,4400.0
49,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,03 Oct 2020,4500.0
50,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,02 Oct 2020,4400.0
51,Coochbehar,Dinhata,Onion,Onion,FAQ,03 Oct 2020,3500.0
52,Coochbehar,Dinhata,Onion,Onion,FAQ,02 Oct 2020,3500.0
53,Burdwan,Durgapur,Onion,Other,FAQ,02 Oct 2020,3600.0
54,Medinipur(E),Egra/contai,Onion,Onion,FAQ,05 Oct 2020,3200.0
55,Medinipur(E),Egra/contai,Onion,Onion,FAQ,04 Oct 2020,3200.0
56,Medinipur(E),Egra/contai,Onion,Onion,FAQ,02 Oct 2020,3500.0
57,Malda,English Bazar,Onion,Other,FAQ,05 Oct 2020,3300.0
58,Malda,English Bazar,Onion,Other,FAQ,04 Oct 2020,3300.0
59,Malda,English Bazar,Onion,Other,FAQ,03 Oct 2020,3300.0
60,Malda,English Bazar,Onion,Other,FAQ,02 Oct 2020,3300.0
61,Malda,Gajol,Onion,Other,FAQ,05 Oct 2020,3200.0
62,Malda,Gajol,Onion,Other,FAQ,04 Oct 2020,3200.0
63,Malda,Gajol,Onion,Other,FAQ,03 Oct 2020,3200.0
64,Malda,Gajol,Onion,Other,FAQ,02 Oct 2020,3200.0
65,North 24 Parganas,Habra,Onion,Other,FAQ,05 Oct 2020,4250.0
66,North 24 Parganas,Habra,Onion,Other,FAQ,04 Oct 2020,4250.0
67,North 24 Parganas,Habra,Onion,Other,FAQ,03 Oct 2020,4200.0
68,North 24 Parganas,Habra,Onion,Other,FAQ,02 Oct 2020,4200.0
69,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,05 Oct 2020,3900.0
70,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,04 Oct 2020,3900.0
71,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,03 Oct 2020,3800.0
72,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,02 Oct 2020,3800.0
73,Murshidabad,Jangipur,Onion,Red,FAQ,03 Oct 2020,4230.0
74,Murshidabad,Jangipur,Onion,Red,FAQ,02 Oct 2020,4200.0
75,Nadia,Kalyani,Onion,Onion,FAQ,05 Oct 2020,4400.0
76,Nadia,Kalyani,Onion,Onion,FAQ,03 Oct 2020,4300.0
77,Nadia,Kalyani,Onion,Onion,FAQ,02 Oct 2020,4200.0
78,Puruliya,Kasipur,Onion,Other,FAQ,05 Oct 2020,3600.0
