,Price Date,District Name,Market Name,Commodity,Variety,Grade,Modal Price (Rs./Quintal)
2,06 Oct 2020,Jalpaiguri,Alipurduar,Cabbage,Other,FAQ,3600.0
3,05 Oct 2020,Jalpaiguri,Alipurduar,Cabbage,Other,FAQ,3200.0
4,04 Oct 2020,Jalpaiguri,Alipurduar,Cabbage,Other,FAQ,2800.0
5,03 Oct 2020,Jalpaiguri,Alipurduar,Cabbage,Other,FAQ,2600.0
6,02 Oct 2020,Jalpaiguri,Alipurduar,Cabbage,Other,FAQ,2600.0
7,06 Oct 2020,Burdwan,Durgapur,Cabbage,Other,FAQ,1900.0
8,05 Oct 2020,Burdwan,Durgapur,Cabbage,Other,FAQ,1860.0
9,04 Oct 2020,Burdwan,Durgapur,Cabbage,Other,FAQ,1850.0
10,03 Oct 2020,Burdwan,Durgapur,Cabbage,Other,FAQ,1860.0
11,02 Oct 2020,Burdwan,Durgapur,Cabbage,Other,FAQ,1900.0
12,07 Oct 2020,Nadia,Kalyani,Cabbage,Other,FAQ,1600.0
13,06 Oct 2020,Nadia,Kalyani,Cabbage,Other,FAQ,1600.0
14,05 Oct 2020,Nadia,Kalyani,Cabbage,Other,FAQ,1600.0
15,03 Oct 2020,Nadia,Kalyani,Cabbage,Other,FAQ,1600.0
16,02 Oct 2020,Nadia,Kalyani,Cabbage,Other,FAQ,1600.0
17,01 Oct 2020,Nadia,Kalyani,Cabbage,Other,FAQ,1600.0
18,06 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
19,05 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
20,04 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
21,03 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
22,02 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
23,01 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
24,07 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
25,06 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
26,05 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
27,04 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
28,03 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
29,02 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3400.0
30,01 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3400.0
31,06 Oct 2020,Jalpaiguri,Alipurduar,Onion,Other,FAQ,4100.0
32,05 Oct 2020,Jalpaiguri,Alipurduar,Onion,Other,FAQ,4100.0
33,04 Oct 2020,Jalpaiguri,Alipurduar,Onion,Other,FAQ,4000.0
34,03 Oct 2020,Jalpaiguri,Alipurduar,Onion,Other,FAQ,4000.0
35,02 Oct 2020,Jalpaiguri,Alipurduar,Onion,Other,FAQ,4000.0
36,06 Oct 2020,Burdwan,Asansol,Onion,Nasik,FAQ,3400.0
37,05 Oct 2020,Burdwan,Asansol,Onion,Nasik,FAQ,3400.0
38,04 Oct 2020,Burdwan,Asansol,Onion,Nasik,FAQ,3360.0
39,03 Oct 2020,Burdwan,Asansol,Onion,Nasik,FAQ,3400.0
40,02 Oct 2020,Burdwan,Asansol,Onion,Nasik,FAQ,3400.0
41,07 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3200.0
42,06 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3400.0
43,05 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3400.0
44,04 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3300.0
45,03 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3500.0
46,02 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3500.0
47,01 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3000.0
48,07 Oct 2020,Bankura,Bankura Sadar,Onion,Nasik,FAQ,3900.0
49,06 Oct 2020,Bankura,Bankura Sadar,Onion,Nasik,FAQ,3900.0
50,05 Oct 2020,Bankura,Bankura Sadar,Onion,Nasik,FAQ,4000.0
51,01 Oct 2020,Bankura,Bankura Sadar,Onion,Nasik,FAQ,4000.0
52,05 Oct 2020,Kolkata,Bara Bazar (Posta Bazar),Onion,Other,FAQ,2850.0
53,03 Oct 2020,Kolkata,Bara Bazar (Posta Bazar),Onion,Other,FAQ,3800.0
54,01 Oct 2020,Kolkata,Bara Bazar (Posta Bazar),Onion,Other,FAQ,3900.0
55,06 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4200.0
56,05 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4200.0
57,04 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4400.0
58,03 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4300.0
59,02 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4300.0
60,01 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4300.0
61,07 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3900.0
62,06 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3900.0
63,05 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3900.0
64,04 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3900.0
65,03 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3800.0
66,02 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3820.0
67,01 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3500.0
68,05 Oct 2020,Birbhum,Birbhum,Onion,Other,FAQ,3800.0
69,04 Oct 2020,Birbhum,Birbhum,Onion,Other,FAQ,3800.0
70,03 Oct 2020,Birbhum,Birbhum,Onion,Nasik,FAQ,3900.0
71,01 Oct 2020,Birbhum,Birbhum,Onion,Other,FAQ,3900.0
72,07 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
73,06 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
74,05 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,3900.0
75,04 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
76,03 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
77,02 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
78,01 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
79,05 Oct 2020,Birbhum,Bolpur,Onion,Onion,FAQ,4000.0
80,03 Oct 2020,Birbhum,Bolpur,Onion,Onion,FAQ,4200.0
81,02 Oct 2020,Birbhum,Bolpur,Onion,Onion,FAQ,3900.0
82,05 Oct 2020,Burdwan,Burdwan,Onion,Nasik,FAQ,4000.0
83,03 Oct 2020,Burdwan,Burdwan,Onion,Nasik,FAQ,4000.0
84,01 Oct 2020,Burdwan,Burdwan,Onion,Nasik,FAQ,4000.0
85,06 Oct 2020,Nadia,Chakdah,Onion,Other,FAQ,4400.0
86,05 Oct 2020,Nadia,Chakdah,Onion,Other,FAQ,4400.0
87,04 Oct 2020,Nadia,Chakdah,Onion,Other,FAQ,4400.0
88,03 Oct 2020,Nadia,Chakdah,Onion,Other,FAQ,4400.0
89,01 Oct 2020,Nadia,Chakdah,Onion,Other,FAQ,4400.0
90,06 Oct 2020,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,4100.0
91,05 Oct 2020,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,4100.0
92,04 Oct 2020,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,4100.0
93,03 Oct 2020,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,4500.0
94,02 Oct 2020,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,4400.0
95,01 Oct 2020,Sounth 24 Parganas,Diamond Harbour(South 24-pgs),Onion,Red,FAQ,4200.0
96,06 Oct 2020,Coochbehar,Dinhata,Onion,Onion,FAQ,3600.0
97,05 Oct 2020,Coochbehar,Dinhata,Onion,Onion,FAQ,3550.0
98,04 Oct 2020,Coochbehar,Dinhata,Onion,Onion,FAQ,3600.0
99,03 Oct 2020,Coochbehar,Dinhata,Onion,Onion,FAQ,3500.0
100,02 Oct 2020,Coochbehar,Dinhata,Onion,Onion,FAQ,3500.0
101,01 Oct 2020,Coochbehar,Dinhata,Onion,Onion,FAQ,3500.0
102,06 Oct 2020,Burdwan,Durgapur,Onion,Other,FAQ,3400.0
103,05 Oct 2020,Burdwan,Durgapur,Onion,Other,FAQ,3500.0
104,04 Oct 2020,Burdwan,Durgapur,Onion,Other,FAQ,2800.0
105,03 Oct 2020,Burdwan,Durgapur,Onion,Other,FAQ,3600.0
106,02 Oct 2020,Burdwan,Durgapur,Onion,Other,FAQ,3600.0
107,05 Oct 2020,Medinipur(E),Egra/contai,Onion,Onion,FAQ,3200.0
108,04 Oct 2020,Medinipur(E),Egra/contai,Onion,Onion,FAQ,3200.0
109,02 Oct 2020,Medinipur(E),Egra/contai,Onion,Onion,FAQ,3500.0
110,01 Oct 2020,Medinipur(E),Egra/contai,Onion,Onion,FAQ,3500.0
111,06 Oct 2020,Malda,English Bazar,Onion,Other,FAQ,3300.0
112,05 Oct 2020,Malda,English Bazar,Onion,Other,FAQ,3300.0
113,04 Oct 2020,Malda,English Bazar,Onion,Other,FAQ,3300.0
114,03 Oct 2020,Malda,English Bazar,Onion,Other,FAQ,3300.0
115,02 Oct 2020,Malda,English Bazar,Onion,Other,FAQ,3300.0
116,01 Oct 2020,Malda,English Bazar,Onion,Other,FAQ,3300.0
117,06 Oct 2020,Malda,Gajol,Onion,Other,FAQ,3200.0
118,05 Oct 2020,Malda,Gajol,Onion,Other,FAQ,3200.0
119,04 Oct 2020,Malda,Gajol,Onion,Other,FAQ,3200.0
120,03 Oct 2020,Malda,Gajol,Onion,Other,FAQ,3200.0
121,02 Oct 2020,Malda,Gajol,Onion,Other,FAQ,3200.0
122,01 Oct 2020,Malda,Gajol,Onion,Other,FAQ,3200.0
123,07 Oct 2020,North 24 Parganas,Habra,Onion,Other,FAQ,4000.0
124,06 Oct 2020,North 24 Parganas,Habra,Onion,Other,FAQ,4000.0
125,05 Oct 2020,North 24 Parganas,Habra,Onion,Other,FAQ,4250.0
126,04 Oct 2020,North 24 Parganas,Habra,Onion,Other,FAQ,4250.0
127,03 Oct 2020,North 24 Parganas,Habra,Onion,Other,FAQ,4200.0
128,02 Oct 2020,North 24 Parganas,Habra,Onion,Other,FAQ,4200.0
129,01 Oct 2020,North 24 Parganas,Habra,Onion,Other,FAQ,4400.0
130,07 Oct 2020,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,3900.0
131,06 Oct 2020,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,3900.0
132,05 Oct 2020,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,3900.0
133,04 Oct 2020,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,3900.0
134,03 Oct 2020,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,3800.0
135,02 Oct 2020,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,3800.0
136,01 Oct 2020,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,3500.0
137,06 Oct 2020,Murshidabad,Jangipur,Onion,Red,FAQ,4095.0
138,05 Oct 2020,Murshidabad,Jangipur,Onion,Red,FAQ,4170.0
139,04 Oct 2020,Murshidabad,Jangipur,Onion,Red,FAQ,4175.0
140,03 Oct 2020,Murshidabad,Jangipur,Onion,Red,FAQ,4230.0
141,02 Oct 2020,Murshidabad,Jangipur,Onion,Red,FAQ,4200.0
