,date,district,market,commodity,Variety,Grade,modal_price
2,08 Oct 2020,Burdwan,Durgapur,Cabbage,Other,FAQ,2000.0
3,09 Oct 2020,Nadia,Kalyani,Cabbage,Other,FAQ,1600.0
4,08 Oct 2020,Nadia,Kalyani,Cabbage,Other,FAQ,1600.0
5,09 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
6,08 Oct 2020,Nadia,Ranaghat,Cabbage,Other,FAQ,3200.0
7,09 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
8,08 Oct 2020,Kolkata,Sealdah Koley Market,Cabbage,Other,FAQ,3600.0
9,08 Oct 2020,Burdwan,Asansol,Onion,Nasik,FAQ,3460.0
10,09 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3600.0
11,08 Oct 2020,Puruliya,Balarampur,Onion,Other,FAQ,3500.0
12,08 Oct 2020,Bankura,Bankura Sadar,Onion,Nasik,FAQ,3900.0
13,08 Oct 2020,Kolkata,Bara Bazar (Posta Bazar),Onion,Other,FAQ,2900.0
14,08 Oct 2020,North 24 Parganas,Barasat,Onion,Other,FAQ,4200.0
15,09 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3900.0
16,08 Oct 2020,Jalpaiguri,Belacoba,Onion,Other,FAQ,3900.0
17,08 Oct 2020,Birbhum,Birbhum,Onion,Other,FAQ,3900.0
18,09 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
19,08 Oct 2020,Bankura,Bishnupur(Bankura),Onion,Nasik,FAQ,4000.0
20,08 Oct 2020,Birbhum,Bolpur,Onion,Onion,FAQ,3900.0
21,08 Oct 2020,Burdwan,Burdwan,Onion,Nasik,FAQ,3800.0
22,08 Oct 2020,Nadia,Chakdah,Onion,Other,FAQ,4000.0
23,08 Oct 2020,Burdwan,Durgapur,Onion,Other,FAQ,3460.0
24,09 Oct 2020,Malda,English Bazar,Onion,Other,FAQ,3300.0
25,08 Oct 2020,Malda,English Bazar,Onion,Local,FAQ,3350.0
26,08 Oct 2020,Malda,Gajol,Onion,Other,FAQ,3200.0
27,09 Oct 2020,North 24 Parganas,Habra,Onion,Other,FAQ,3750.0
28,08 Oct 2020,North 24 Parganas,Habra,Onion,Other,FAQ,3800.0
29,09 Oct 2020,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,3900.0
30,08 Oct 2020,Jalpaiguri,Jalpaiguri Sadar,Onion,Other,FAQ,3900.0
31,08 Oct 2020,Murshidabad,Jangipur,Onion,Red,FAQ,3980.0
32,08 Oct 2020,Burdwan,Kalna,Onion,Other,FAQ,4200.0
33,09 Oct 2020,Nadia,Kalyani,Onion,Onion,FAQ,4000.0
34,08 Oct 2020,Nadia,Kalyani,Onion,Onion,FAQ,4000.0
35,08 Oct 2020,Puruliya,Kasipur,Onion,Other,FAQ,3300.0
36,09 Oct 2020,Medinipur(W),Medinipur(West),Onion,Nasik,FAQ,4200.0
37,08 Oct 2020,Medinipur(W),Medinipur(West),Onion,Nasik,FAQ,4200.0
38,08 Oct 2020,Coochbehar,Mekhliganj,Onion,Other,FAQ,3600.0
39,09 Oct 2020,Jalpaiguri,Moynaguri,Onion,Other,FAQ,3900.0
40,08 Oct 2020,Jalpaiguri,Moynaguri,Onion,Other,FAQ,3900.0
41,08 Oct 2020,Puruliya,Purulia,Onion,Other,FAQ,3400.0
42,09 Oct 2020,Howrah,Ramkrishanpur(Howrah),Onion,Other,FAQ,4000.0
43,08 Oct 2020,Howrah,Ramkrishanpur(Howrah),Onion,Other,FAQ,4000.0
44,09 Oct 2020,Birbhum,Rampurhat,Onion,Nasik,FAQ,3700.0
45,08 Oct 2020,Birbhum,Rampurhat,Onion,Nasik,FAQ,3700.0
46,09 Oct 2020,Nadia,Ranaghat,Onion,Other,FAQ,4300.0
47,08 Oct 2020,Nadia,Ranaghat,Onion,Other,FAQ,4300.0
48,09 Oct 2020,Birbhum,Sainthia,Onion,Nasik,FAQ,3700.0
49,08 Oct 2020,Birbhum,Sainthia,Onion,Nasik,FAQ,3700.0
50,08 Oct 2020,Malda,Samsi,Onion,Onion,FAQ,3100.0
51,08 Oct 2020,Hooghly,Sheoraphuly,Onion,Nasik,FAQ,3400.0
52,08 Oct 2020,Medinipur(E),Tamluk (Medinipur E),Onion,Other,FAQ,3600.0
53,09 Oct 2020,Howrah,Uluberia,Onion,Other,FAQ,4000.0
54,08 Oct 2020,Howrah,Uluberia,Onion,Other,FAQ,3800.0
55,08 Oct 2020,Burdwan,Asansol,Potato,Jyoti,FAQ,2700.0
56,09 Oct 2020,Puruliya,Balarampur,Potato,Other,FAQ,2830.0
57,08 Oct 2020,Puruliya,Balarampur,Potato,Other,FAQ,2830.0
58,08 Oct 2020,Dakshin Dinajpur,Balurghat,Potato,Jyoti,FAQ,3300.0
59,08 Oct 2020,Dakshin Dinajpur,Balurghat,Potato,Local,FAQ,2800.0
